id_author,name,gender,birth_date,birth_place,nationality,description,active_start,province,region,country,latitude,longitude
ART28717687,slait,M,1987-01-24,Olbia,Italy,rapper e produttore discografico italiano (1987-),unknown,Gallura,Sardegna,Italy,40.9232659,9.5027442
ART22979236,sottotono,M,1994,Italy,Italia,gruppo musicale italiano,1994,unknown,unknown,Italy,unknown,unknown
ART85780419,tedua,M,1994-02-21,Genova,Italy,"cantautore, rapper e attore italiano (1994-)",1994-02-21,Genova,Liguria,Italy,44.40726,8.9338624
ART88026810,thasup,M,2001-03-17,Fiumicino,Italy,rapper e produttore discografico italiano (2001-),2015-01-01,Roma,Lazio,Italy,41.7712145,12.2278855
ART51721248,tony boy,M,1999-09-26,Padova,Italy,rapper italiano (1999-),1999-09-26,Padova,Veneto,Italy,45.391408,11.8058487
ART57242110,tony effe,M,1991-05-17,Roma,Italy,rapper italiano (1991-),1991-05-17,Roma,Lazio,Italy,41.8933203,12.4829321
ART98118784,tormento,M,1975-09-06,Reggio Calabria,Italy,"rapper, cantautore e beatmaker italiano (1975-)",1975-09-06,Reggio Calabria,Calabria,Italy,38.1035389,15.6397556
ART15560128,vacca,M,1979-10-21,Cagliari,Italy,rapper italiano,2001-01-01,Cagliari,Sardegna,Italy,39.2171994,9.113311
ART57587384,willie peyote,M,1985-08-28,Torino,Italy,rapper e cantautore italiano (1985-),2004-01-01,Torino,Piemonte,Italy,45.0677551,7.6824892
ART71515715,yeиdry,F,1993-07-27,Italy,unknown,unknown,1993-07-27,unknown,unknown,Italy,unknown,unknown
ART83631935,yung snapp,M,1996-08-06,Napoli,Italy,produttore discografico e rapper italiano,1996-08-06,Napoli,Campania,Italy,40.8358846,14.2487679
